model_name                                                     model_display_name
rental.order.wizard.line                                       RentalOrderLine transient representation
ir.actions.report                                              Report Action
report.layout                                                  Report Layout
sms.resend.recipient                                           Resend Notification
reset.view.arch.wizard                                         Reset View Architecture Wizard
pos_preparation_display.reset.wizard                           Reset all current order in a preparation display
resource.mixin                                                 Resource Mixin
resource.calendar.leaves                                       Resource Time Off Detail
resource.calendar                                              Resource Working Time
resource.resource                                              Resources
restaurant.floor                                               Restaurant Floor
restaurant.table                                               Restaurant Table
hr.resume.line                                                 Resume line of an employee
stock.return.picking                                           Return Picking
stock.return.picking.line                                      Return Picking Line
website.robots                                                 Robots.txt Editor
ir.rule                                                        Rule
account.reconcile.model.line                                   Rules for the reconciliation model
stock.scheduler.compute                                        Run Scheduler Manually
website.seo.metadata                                           SEO metadata
account.edi.xml.ubl_sg                                         SG BIS Billing 3.0
account.edi.xml.ubl_nl                                         SI-UBL 2.0 (NLCIUS)
helpdesk.sla.report.analysis                                   SLA Status Analysis
sms.api                                                        SMS API
sms.resend                                                     SMS Resend
sms.template.preview                                           SMS Template Preview
sms.template.reset                                             SMS Template Reset
sms.template                                                   SMS Templates
hr.contract.salary.advantage                                   Salary Package Advantage
hr.contract.salary.personal.info                               Salary Package Personal Info
hr.contract.salary.personal.info.type                          Salary Package Personal Info Type
hr.contract.salary.personal.info.value                         Salary Package Personal Info Value
hr.contract.salary.resume                                      Salary Package Resume
hr.contract.salary.resume.category                             Salary Package Resume Category
hr.payroll.structure.type                                      Salary Structure Type
sale.order.option                                              Sale Options
sale.order.alert                                               Sale Order Alert
sale.order.log                                                 Sale Order Log
sale.payment.provider.onboarding.wizard                        Sale Payment provider onboarding wizard
sale.temporal.recurrence                                       Sale temporal Recurrence
sale.advance.payment.inv                                       Sales Advance Payment Invoice
sale.report                                                    Sales Analysis Report
sale.order.log.report                                          Sales Log Analysis Report
sale.order.cancel                                              Sales Order Cancel
sale.order.line                                                Sales Order Line
mailing.mailing.test                                           Sample Mail Wizard
planning.planning                                              Schedule
ir.cron                                                        Scheduled Actions
mail.message.schedule                                          Scheduled Messages
planning.send                                                  Send Planning
sms.composer                                                   Send SMS Wizard
applicant.send.mail                                            Send mails to applicants
ir.sequence                                                    Sequence
ir.sequence.date_range                                         Sequence Date Range
ir.actions.server                                              Server Action
ir.server.object.lines                                         Server Action value mapping
planning.slot.template                                         Shift Template
delivery.carrier                                               Shipping Methods
res.users.apikeys.show                                         Show API Key
sign.duplicate.template.pdf                                    Sign Duplicate Template with new PDF
sign.template.tag                                              Sign Template Tag
hr.contract.sign.document.wizard                               Sign document in contract
hr.recruitment.sign.document.wizard                            Sign document in recruitment
sign.log                                                       Sign requests access history
sign.send.request                                              Sign send request
sign.send.request.signer                                       Sign send request signer
sign.item.role                                                 Signature Item Party
sign.item.type                                                 Signature Item Type
sign.request.item.value                                        Signature Item Value
sign.request.item                                              Signature Request Item
sign.template                                                  Signature Template
hr.skill                                                       Skill
hr.skill.level                                                 Skill Level
hr.skill.type                                                  Skill Type
hr.applicant.skill                                             Skill level for an applicant
hr.employee.skill                                              Skill level for an employee
hr.employee.skill.log                                          Skills History
snailmail.letter                                               Snailmail Letter
stock.orderpoint.snooze                                        Snooze Orderpoint
hr.recruitment.source                                          Source of Applicants
pos.pack.operation.lot                                         Specify product lot/serial number in pos order line
mrp.production.split.line                                      Split Production Detail
spreadsheet.contributor                                        Spreadsheet Contributor
spreadsheet.dashboard                                          Spreadsheet Dashboard
spreadsheet.template                                           Spreadsheet Template
save.spreadsheet.template                                      Spreadsheet Template Save Wizard
spreadsheet.mixin                                              Spreadsheet mixin
pos_preparation_display.order.stage                            Stage of orders by preparation display
stock.assign.serial                                            Stock Assign Serial Numbers
stock.move                                                     Stock Move
stock.package.destination                                      Stock Package Destination
stock.package_level                                            Stock Package Level
